Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,60.000000,60.619999,59.590000,59.919998,58.618225,229200
2022-08-09,59.849998,60.310001,59.730000,60.220001,58.911713,158300
2022-08-10,60.759998,61.200001,59.990002,60.160000,58.853012,155400
2022-08-11,60.570000,62.200001,60.320000,61.980000,60.633472,209100
2022-08-12,61.950001,62.480000,61.779999,62.439999,61.083477,113400
2022-08-15,62.070000,63.400002,61.590000,62.930000,61.562836,137200
2022-08-16,63.250000,63.580002,62.430000,63.029999,61.660660,154800
2022-08-17,62.500000,63.139999,62.099998,62.990002,61.621532,107800
2022-08-18,62.930000,62.930000,62.369999,62.680000,61.318268,99800
2022-08-19,62.570000,62.930000,62.189999,62.619999,61.259567,101000
2022-08-22,62.230000,62.410000,61.549999,61.810001,60.467167,111400
2022-08-23,62.040001,63.000000,61.720001,62.910000,61.543270,146200
2022-08-24,63.070000,63.279999,62.400002,62.720001,61.357399,94600
2022-08-25,63.169998,63.349998,62.430000,63.349998,61.973709,83700
2022-08-26,63.119999,63.119999,62.119999,62.230000,60.878040,94300
2022-08-29,62.330002,63.029999,61.740002,62.680000,61.318268,152600
2022-08-30,62.970001,62.970001,61.770000,61.939999,60.594341,150300
2022-08-31,61.950001,62.590000,61.070000,61.230000,59.899765,255700
2022-09-01,60.970001,61.380001,60.119999,61.040001,59.713898,217700
2022-09-02,61.340000,62.470001,61.049999,61.330002,59.997597,118000
2022-09-06,61.590000,62.869999,61.000000,62.869999,61.504135,219000
2022-09-07,62.900002,63.209999,62.040001,62.139999,60.789997,190500
2022-09-08,62.439999,63.070000,61.869999,63.000000,61.631313,122900
2022-09-09,63.310001,63.400002,62.549999,62.919998,61.553051,74700
2022-09-12,63.389999,65.180000,63.230000,64.519997,63.118290,154100
2022-09-13,63.680000,64.309998,62.799999,63.110001,61.738926,104500
2022-09-14,62.820000,63.610001,62.820000,63.549999,62.169365,120800
2022-09-15,63.290001,63.290001,61.500000,61.910000,60.564995,116500
2022-09-16,61.340000,62.270000,61.320000,61.990002,60.643257,87300
2022-09-19,61.500000,63.009998,61.369999,62.990002,61.621532,106000
2022-09-20,62.599998,62.900002,61.910000,62.459999,61.103043,99700
2022-09-21,62.459999,62.459999,60.540001,60.610001,59.293236,207800
2022-09-22,60.740002,60.869999,60.119999,60.580002,59.263889,174600
2022-09-23,60.009998,60.009998,57.549999,57.810001,56.554070,206000
2022-09-26,57.230000,57.689999,56.150002,56.490002,55.262745,98500
2022-09-27,56.619999,57.209999,55.939999,56.580002,55.350792,309700
2022-09-28,56.919998,58.189999,56.330002,57.549999,56.299717,273800
2022-09-29,57.419998,58.270000,55.840000,57.950001,56.691029,242900
2022-09-30,57.900002,59.150002,57.650002,58.389999,57.121468,230100
2022-10-03,59.209999,61.119999,59.000000,60.470001,59.156281,414300
2022-10-04,61.119999,61.360001,60.630001,61.150002,59.821507,158900
2022-10-05,61.000000,61.860001,60.500000,61.590000,60.251945,380500
2022-10-06,61.200001,61.570000,60.500000,60.689999,59.371498,184500
2022-10-07,60.830002,60.830002,59.480000,59.919998,58.618225,130000
2022-10-10,60.189999,61.000000,59.689999,59.799999,58.500835,123900
2022-10-11,59.310001,60.040001,59.080002,59.369999,58.080173,158700
2022-10-12,60.180000,60.180000,58.259998,58.730000,57.454079,474300
2022-10-13,57.900002,60.209999,57.619999,59.930000,58.628010,218600
2022-10-14,59.540001,59.930000,58.580002,58.830002,57.551910,222500
2022-10-17,59.360001,60.349998,59.250000,59.980000,58.676922,126500
2022-10-18,60.570000,60.669998,59.860001,60.220001,58.911713,140000
2022-10-19,60.060001,60.619999,59.750000,60.439999,59.126930,174500
2022-10-20,60.680000,60.680000,59.299999,59.630001,58.334530,204800
2022-10-21,59.709999,60.799999,59.680000,60.500000,59.185627,347300
2022-10-24,60.889999,61.150002,60.320000,60.590000,59.273670,212700
2022-10-25,60.810001,62.470001,60.490002,61.619999,60.281292,358300
2022-10-26,62.090000,62.820000,61.730000,62.150002,60.799782,184200
2022-10-27,62.150002,62.580002,61.500000,62.410000,61.054131,490400
2022-10-28,62.740002,62.930000,62.029999,62.369999,61.014999,596400
2022-10-31,61.090000,63.090000,60.549999,62.790001,62.790001,308300
